parts,distinct_keys,read_hamt_string_ns,read_hamt_coded_ns,read_art_ns,read_mvcc_string_ns,read_mvcc_coded_ns,submit_hamt_naive_ns,submit_hamt_folded_ns,submit_art_ns,submit_mvcc_ns,mem_hamt_folded_mib,mem_champ_folded_mib,mem_art_mib
1,32,100.4,182.4,89.4,180.4,265.4,5524,192,192,4480,6.10352e-05,3.8147e-05,3.05176e-05
2,64,180.4,262.4,89.4,180.4,265.4,11028,3703.25,224,4480,0.00136806,0.000855035,6.10352e-05
3,96,180.4,262.4,89.4,180.4,265.4,11028,3703.25,256,4480,0.00267508,0.00167192,9.15527e-05
4,128,180.4,262.4,89.4,180.4,265.4,11028,3703.25,288,4480,0.0039821,0.00248881,0.00012207
5,160,180.4,262.4,89.4,180.4,265.4,11028,3703.25,320,4480,0.00528912,0.0033057,0.000152588
6,191,180.4,262.4,89.4,180.4,265.4,11028,3703.25,351,4480,0.00659614,0.00412259,0.000183105
7,223,180.4,262.4,89.4,180.4,265.4,11028,3703.25,383,4480,0.00790316,0.00493948,0.000213623
8,254,180.4,262.4,89.4,180.4,265.4,11028,3703.25,414,4480,0.00921018,0.00575636,0.000244141
9,286,180.4,262.4,169.4,180.4,265.4,11028,3703.25,4908.37,4480,0.0105172,0.00657325,0.00119434
10,317,180.4,262.4,169.4,180.4,265.4,11028,3703.25,4939.5,4480,0.0118242,0.00739014,0.00214454
11,349,180.4,262.4,169.4,180.4,265.4,11028,3703.25,4970.64,4480,0.0131312,0.00820703,0.00309473
12,381,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5001.77,4480,0.0144383,0.00902392,0.00404493
13,413,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5032.91,4480,0.0157453,0.0098408,0.00499513
14,445,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5064.05,4480,0.0170523,0.0106577,0.00594533
15,477,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5064.05,4480,0.0183593,0.0114746,0.00689553
16,509,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5095.18,4480,0.0196663,0.0122915,0.00784572
17,541,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5126.32,4480,0.0209734,0.0131084,0.00879592
18,573,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5126.32,4480,0.0222804,0.0139252,0.00974612
19,605,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5157.45,4480,0.0235874,0.0147421,0.0106963
20,637,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5188.59,4480,0.0248944,0.015559,0.0116465
21,669,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5188.59,4480,0.0262015,0.0163759,0.0125967
22,701,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5219.73,4480,0.0275085,0.0171928,0.0135469
23,732,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5250.86,4480,0.0288155,0.0180097,0.0144971
24,764,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5250.86,4480,0.0301225,0.0188266,0.0154473
25,796,180.4,262.4,169.4,180.4,265.4,11028,3703.25,5282,4480,0.0314295,0.0196435,0.0163975
