parts,distinct_keys,read_hamt_ns,read_btree_ns,read_mvcc_ns,read_layers_ns,read_perpart_ns,read_perpart_pruned_ns,read_perpart_compacted_ns,submit_hamt_ns,submit_btree_ns,submit_mvcc_ns,submit_layers_ns,submit_perpart_ns,submit_perpart_compacted_ns
1,32,82,90,165,85,95,125,95,4564,4820,4480,2160,2140,2140
2,64,164,180,165,127.5,180,155,180,9108,9620,4480,2160,2140,2140
3,96,164,180,165,169.15,265,185,265,9108,9620,4480,2160,2140,2140
4,128,164,180,165,215.645,350,215,350,9108,9620,4480,2160,2140,2140
5,160,164,180,165,249.39,435,245,435,9108,9620,4480,2160,2140,2140
6,191,164,180,165,296.65,520.01,275.095,520.01,9108,9620,4480,2160,2140,2140
7,223,164,180,165,342.72,605.03,305.285,605.03,9108,9620,4480,2160,2140,2140
8,254,164,180,165,387.94,690.08,335.76,690.08,9108,9620,4480,2160,2140,2140
9,286,164,180,165,426.02,775.08,365.76,775.08,9108,9620,4480,2160,2140,2140
10,317,164,180,165,458.15,860.08,395.76,860.08,9108,9620,4480,2160,2140,2140
11,349,164,180,165,518.67,945.1,425.95,945.1,9108,9620,4480,2160,2140,2140
12,381,164,180,165,544.595,1030.17,456.615,1030.17,9108,9620,4480,2160,2140,2140
13,413,164,180,165,595,1115.07,485.665,1115.07,9108,9620,4480,2160,2140,2140
14,445,164,180,165,636.565,1200.11,516.045,1200.11,9108,9620,4480,2160,2140,2140
15,477,164,180,165,693.515,1285.1,545.95,1285.1,9108,9620,4480,2160,2140,2140
16,509,164,180,165,711.025,1370.06,575.57,1370.06,9108,9620,4480,2160,2140,2140
17,541,164,180,165,775.625,1455.06,605.57,1455.06,9108,9620,4480,2160,2140,2140
18,573,164,180,165,812.005,1540.09,635.855,1540.09,9108,9620,4480,2160,2140,2140
19,605,164,180,165,868.785,1625.01,665.095,1625.01,9108,9620,4480,2160,2140,2140
20,637,164,180,165,874.735,1710.05,695.475,1710.05,9108,9620,4480,2160,2140,2140
21,669,164,180,165,915.365,1795.04,725.38,1795.04,9108,9620,4480,2160,2140,2140
22,701,164,180,165,951.32,1880.06,755.57,1880.06,9108,9620,4480,2160,2140,2140
23,732,164,180,165,974.865,1965.04,785.38,1965.04,9108,9620,4480,2160,2140,2140
24,764,164,180,165,1023.74,2050.06,815.57,2050.06,9108,9620,4480,2160,2140,2140
25,796,164,180,165,1122.17,2135.07,845.665,2135.07,9108,9620,4480,2160,2140,2140
26,828,164,180,165,1154.73,2220.08,875.76,2220.08,9108,9620,4480,2160,2140,2140
27,860,164,180,165,1196.63,2305.05,905.475,2305.05,9108,9620,4480,2160,2140,2140
28,892,164,180,165,1252.31,2390.05,935.475,2390.05,9108,9620,4480,2160,2140,2140
29,924,164,180,165,1334.41,2475.02,965.19,2475.02,9108,9620,4480,2160,2140,2140
30,955,164,180,165,1352.35,2560.04,995.38,2560.04,9108,9620,4480,2160,2140,2140
31,987,164,180,165,1412.53,2645.01,1025.1,2645.01,9108,9620,4480,2160,2140,2140
32,1019,164,180,165,1397.66,2730.03,1055.29,2730.03,9108,9620,4480,2160,2140,2140
33,1050,246,270,165,1433.02,2815.07,1085.66,2815.07,13652,14420,4480,2160,2140,2140
34,1082,246,270,165,1521.41,2900.05,1115.47,2900.05,13652,14420,4480,2160,2140,2140
35,1114,246,270,165,1526.6,2985.05,1145.47,2985.05,13652,14420,4480,2160,2140,2140
36,1146,246,270,165,1511.47,3070.09,1175.85,3070.09,13652,14420,4480,2160,2140,2140
37,1178,246,270,165,1631.49,3155.09,1205.85,3155.09,13652,14420,4480,2160,2140,2140
38,1209,246,270,165,1693.62,3240.04,1235.38,3240.04,13652,14420,4480,2160,2140,2140
39,1239,246,270,165,1718.36,3325.06,1265.57,3325.06,13652,14420,4480,2160,2140,2140
40,1271,246,270,165,1731.45,3410.07,1295.66,3410.07,13652,14420,4480,2160,2140,2140
41,1303,246,270,165,1841.36,3495.08,1325.76,3495.08,13652,14420,4480,2160,2140,2140
42,1334,246,270,165,1787.89,3580.06,1355.57,3580.06,13652,14420,4480,2160,2140,2140
43,1366,246,270,165,1906.12,3665.16,1386.52,3665.16,13652,14420,4480,2160,2140,2140
44,1398,246,270,165,1924.74,3750.09,1415.85,3750.09,13652,14420,4480,2160,2140,2140
45,1430,246,270,165,2002.34,3835.07,1445.66,3835.07,13652,14420,4480,2160,2140,2140
46,1462,246,270,165,1997.33,3920.08,1475.76,3920.08,13652,14420,4480,2160,2140,2140
47,1494,246,270,165,2072.81,4005.07,1505.66,4005.07,13652,14420,4480,2160,2140,2140
48,1526,246,270,165,2056.15,4090.07,1535.66,4090.07,13652,14420,4480,2160,2140,2140
49,1557,246,270,165,2180.84,4175.08,1565.76,4175.08,13652,14420,4480,2160,2140,2140
50,1589,246,270,165,2156.45,4260.02,1595.19,4260.02,13652,14420,4480,2160,2140,2140
51,1621,246,270,165,2223.68,4345.07,1625.66,4345.07,13652,14420,4480,2160,2140,2140
52,1651,246,270,165,2102.73,4430.08,1655.76,4430.08,13652,14420,4480,2160,2140,2140
53,1682,246,270,165,2246.38,4515.1,1685.95,4515.1,13652,14420,4480,2160,2140,2140
54,1712,246,270,165,2326.11,4600.1,1715.95,4600.1,13652,14420,4480,2160,2140,2140
55,1744,246,270,165,2325.01,4685.05,1745.47,4685.05,13652,14420,4480,2160,2140,2140
56,1776,246,270,165,2424.2,4770.12,1776.14,4770.12,13652,14420,4480,2160,2140,2140
57,1807,246,270,165,2376.77,4855.09,1805.85,4855.09,13652,14420,4480,2160,2140,2140
58,1837,246,270,165,2533.09,4940.13,1836.24,4940.13,13652,14420,4480,2160,2140,2140
59,1869,246,270,165,2557.48,5025.12,1866.14,5025.12,13652,14420,4480,2160,2140,2140
60,1901,246,270,165,2561.9,5110.13,1896.24,5110.13,13652,14420,4480,2160,2140,2140
61,1933,246,270,165,2650.72,5195.08,1925.76,5195.08,13652,14420,4480,2160,2140,2140
62,1964,246,270,165,2581.28,5280.1,1955.95,5280.1,13652,14420,4480,2160,2140,2140
63,1994,246,270,165,2789.36,5365.05,1985.47,5365.05,13652,14420,4480,2160,2140,2140
64,2025,246,270,165,2769.81,5450.11,2016.04,5450.11,13652,14420,4480,2160,2140,2140
65,2056,246,270,165,2813.92,5535.16,2046.52,5450.16,13652,14420,4480,2160,2140,2187.87
66,2087,246,270,165,2949.84,5620.18,2076.71,5450.18,13652,14420,4480,2160,2140,2235
